,filename,ratio,weight,seed
183,N-be75eec-250,0.05,0.82666667,2
184,N-be75np-250,0.05,0.82666667,2
185,N-t1d200,0.05,0.82666667,3
186,N-t1d500,0.05,0.82666667,3
187,N-t2d200,0.05,0.82666667,3
188,N-be75eec-150,0.05,0.82666667,3
189,N-be75eec-250,0.05,0.82666667,3
190,N-be75np-250,0.05,0.82666667,3
191,N-t1d200,0.05,0.82666667,4
192,N-t1d500,0.05,0.82666667,4
193,N-t2d200,0.05,0.82666667,4
194,N-be75eec-150,0.05,0.82666667,4
195,N-be75eec-250,0.05,0.82666667,4
196,N-be75np-250,0.05,0.82666667,4
197,N-t1d200,0.05,0.82666667,5
198,N-t1d500,0.05,0.82666667,5
199,N-t2d200,0.05,0.82666667,5
200,N-be75eec-150,0.05,0.82666667,5
201,N-be75eec-250,0.05,0.82666667,5
202,N-be75np-250,0.05,0.82666667,5
203,N-atp134,0.05,0.82666667,5
204,rec13,0.05,0.82666667,5
205,N-t1d200,0.05,0.82666667,6
206,N-t1d500,0.05,0.82666667,6
207,N-t2d200,0.05,0.82666667,6
208,N-be75eec-150,0.05,0.82666667,6
209,N-be75eec-250,0.05,0.82666667,6
210,N-be75np-250,0.05,0.82666667,6
211,N-t1d200,0.05,0.82666667,7
212,N-t1d500,0.05,0.82666667,7
213,N-t2d200,0.05,0.82666667,7
214,N-be75eec-150,0.05,0.82666667,7
215,N-be75eec-250,0.05,0.82666667,7
216,N-be75np-250,0.05,0.82666667,7
217,N-t1d200,0.05,0.82666667,8
218,N-t1d500,0.05,0.82666667,8
219,N-t2d200,0.05,0.82666667,8
220,N-be75eec-150,0.05,0.82666667,8
221,N-be75eec-250,0.05,0.82666667,8
222,N-be75np-250,0.05,0.82666667,8
223,N-atp134,0.05,0.82666667,8
224,N-t1d200,0.05,0.82666667,9
225,N-t1d500,0.05,0.82666667,9
226,N-t2d200,0.05,0.82666667,9
227,N-be75eec-150,0.05,0.82666667,9
228,N-be75eec-250,0.05,0.82666667,9
229,N-be75np-250,0.05,0.82666667,9
230,N-atp134,0.05,0.82666667,9
231,rec05,0.05,0.82666667,9
232,N-t1d150,0.05,0.99,0
233,N-t1d200,0.05,0.99,0
234,N-t1d500,0.05,0.99,0
235,N-t2d150,0.05,0.99,0
236,N-t2d200,0.05,0.99,0
237,N-be75eec-150,0.05,0.99,0
238,N-be75np-150,0.05,0.99,0
239,N-be75eec-250,0.05,0.99,0
240,N-be75np-250,0.05,0.99,0
241,N-atp111,0.05,0.99,0
242,N-atp134,0.05,0.99,0
243,N-t1d150,0.05,0.99,1
244,N-t1d200,0.05,0.99,1
245,N-t1d500,0.05,0.99,1
246,N-t2d150,0.05,0.99,1
247,N-t2d200,0.05,0.99,1
248,N-be75eec-150,0.05,0.99,1
249,N-be75np-150,0.05,0.99,1
250,N-be75eec-250,0.05,0.99,1
251,N-be75np-250,0.05,0.99,1
252,N-atp111,0.05,0.99,1
253,N-atp134,0.05,0.99,1
254,nug12,0.05,0.99,1
255,N-t1d150,0.05,0.99,2
256,N-t1d200,0.05,0.99,2
257,N-t1d500,0.05,0.99,2
258,N-t2d150,0.05,0.99,2
259,N-t2d200,0.05,0.99,2
260,N-be75eec-150,0.05,0.99,2
261,N-be75np-150,0.05,0.99,2
262,N-be75eec-250,0.05,0.99,2
263,N-be75np-250,0.05,0.99,2
264,N-atp134,0.05,0.99,2
265,rec05,0.05,0.99,2
266,N-t1d150,0.05,0.99,3
267,N-t1d200,0.05,0.99,3
268,N-t1d500,0.05,0.99,3
269,N-t2d150,0.05,0.99,3
270,N-t2d200,0.05,0.99,3
271,N-p50-02,0.05,0.99,3
272,N-be75eec-150,0.05,0.99,3
273,N-be75np-150,0.05,0.99,3
274,N-be75eec-250,0.05,0.99,3
275,N-be75np-250,0.05,0.99,3
276,N-atp111,0.05,0.99,3
277,N-atp134,0.05,0.99,3
278,rec31,0.05,0.99,3
279,N-t1d150,0.05,0.99,4
280,N-t1d200,0.05,0.99,4
281,N-t1d500,0.05,0.99,4
282,N-t2d200,0.05,0.99,4
283,N-be75eec-150,0.05,0.99,4
284,N-be75eec-250,0.05,0.99,4
285,N-be75np-250,0.05,0.99,4
286,N-t1d200,0.05,0.99,5
287,N-t1d500,0.05,0.99,5
288,N-t2d200,0.05,0.99,5
289,N-be75eec-150,0.05,0.99,5
290,N-be75eec-250,0.05,0.99,5
291,N-be75np-250,0.05,0.99,5
292,N-t1d200,0.05,0.99,6
293,N-t1d500,0.05,0.99,6
294,N-t2d200,0.05,0.99,6
295,N-be75eec-150,0.05,0.99,6
296,N-be75eec-250,0.05,0.99,6
297,N-be75np-250,0.05,0.99,6
298,nug30,0.05,0.99,6
299,rec31,0.05,0.99,6
300,N-t1d200,0.05,0.99,7
301,N-t1d500,0.05,0.99,7
302,N-t2d200,0.05,0.99,7
303,N-be75eec-150,0.05,0.99,7
304,N-be75eec-250,0.05,0.99,7
305,N-be75np-250,0.05,0.99,7
306,tho30,0.05,0.99,7
307,kra32,0.05,0.99,7
308,rec13,0.05,0.99,7
309,N-t1d200,0.05,0.99,8
310,N-t1d500,0.05,0.99,8
311,N-t2d200,0.05,0.99,8
312,N-be75eec-150,0.05,0.99,8
313,N-be75eec-250,0.05,0.99,8
314,N-be75np-250,0.05,0.99,8
315,tho30,0.05,0.99,8
316,N-t1d200,0.05,0.99,9
317,N-t1d500,0.05,0.99,9
318,N-t2d200,0.05,0.99,9
319,N-be75eec-150,0.05,0.99,9
320,N-be75eec-250,0.05,0.99,9
321,N-be75np-250,0.05,0.99,9
322,tho30,0.05,0.99,9
323,rec05,0.05,0.99,9
324,N-t1d200,0.05,0.71777778,0
325,N-t1d500,0.05,0.71777778,0
326,N-t2d200,0.05,0.71777778,0
327,N-be75eec-150,0.05,0.71777778,0
328,N-be75eec-250,0.05,0.71777778,0
329,N-be75np-250,0.05,0.71777778,0
330,N-atp134,0.05,0.71777778,0
331,N-t1d200,0.05,0.71777778,1
332,N-t1d500,0.05,0.71777778,1
333,N-t2d200,0.05,0.71777778,1
334,N-be75eec-150,0.05,0.71777778,1
335,N-be75eec-250,0.05,0.71777778,1
336,N-be75np-250,0.05,0.71777778,1
337,N-t1d200,0.05,0.71777778,2
338,N-t1d500,0.05,0.71777778,2
339,N-t2d200,0.05,0.71777778,2
340,N-be75eec-150,0.05,0.71777778,2
341,N-be75np-150,0.05,0.71777778,2
342,N-be75eec-250,0.05,0.71777778,2
343,N-be75np-250,0.05,0.71777778,2
344,nug12,0.05,0.71777778,2
345,N-t1d200,0.05,0.71777778,3
346,N-t1d500,0.05,0.71777778,3
347,N-t2d200,0.05,0.71777778,3
348,N-be75eec-150,0.05,0.71777778,3
349,N-be75eec-250,0.05,0.71777778,3
350,N-be75np-250,0.05,0.71777778,3
351,N-atp134,0.05,0.71777778,3
352,rec05,0.05,0.71777778,3
353,N-t1d200,0.05,0.71777778,4
354,N-t1d500,0.05,0.71777778,4
355,N-t2d200,0.05,0.71777778,4
356,N-be75eec-150,0.05,0.71777778,4
357,N-be75eec-250,0.05,0.71777778,4
358,N-be75np-250,0.05,0.71777778,4
359,N-t1d150,0.05,0.71777778,5
360,N-t1d200,0.05,0.71777778,5
361,N-t1d500,0.05,0.71777778,5
362,N-t2d200,0.05,0.71777778,5
363,N-be75eec-150,0.05,0.71777778,5
364,N-be75eec-250,0.05,0.71777778,5
365,N-be75np-250,0.05,0.71777778,5
366,N-atp111,0.05,0.71777778,5
367,N-atp134,0.05,0.71777778,5
368,N-t1d200,0.05,0.71777778,6
369,N-t1d500,0.05,0.71777778,6
370,N-t2d150,0.05,0.71777778,6
371,N-t2d200,0.05,0.71777778,6
372,N-be75eec-150,0.05,0.71777778,6
373,N-be75eec-250,0.05,0.71777778,6
374,N-be75np-250,0.05,0.71777778,6
375,N-atp134,0.05,0.71777778,6
376,N-t1d200,0.05,0.71777778,7
377,N-t1d500,0.05,0.71777778,7
378,N-t2d200,0.05,0.71777778,7
379,N-be75eec-150,0.05,0.71777778,7
380,N-be75eec-250,0.05,0.71777778,7
381,N-be75np-250,0.05,0.71777778,7
382,N-atp134,0.05,0.71777778,7
383,rec19,0.05,0.71777778,7
384,N-t1d150,0.05,0.71777778,8
385,N-t1d200,0.05,0.71777778,8
386,N-t1d500,0.05,0.71777778,8
387,N-t2d200,0.05,0.71777778,8
388,N-p50-02,0.05,0.71777778,8
389,N-be75eec-150,0.05,0.71777778,8
390,N-be75eec-250,0.05,0.71777778,8
391,N-be75np-250,0.05,0.71777778,8
392,N-atp134,0.05,0.71777778,8
393,N-t1d200,0.05,0.71777778,9
394,N-t1d500,0.05,0.71777778,9
395,N-t2d150,0.05,0.71777778,9
396,N-t2d200,0.05,0.71777778,9
397,N-be75eec-150,0.05,0.71777778,9
398,N-be75eec-250,0.05,0.71777778,9
399,N-be75np-250,0.05,0.71777778,9
400,rec05,0.05,0.71777778,9
401,N-t1d200,0.05,0.88111111,0
402,N-t1d500,0.05,0.88111111,0
403,N-t2d150,0.05,0.88111111,0
404,N-t2d200,0.05,0.88111111,0
405,N-be75eec-150,0.05,0.88111111,0
406,N-be75np-150,0.05,0.88111111,0
407,N-be75eec-250,0.05,0.88111111,0
408,N-be75np-250,0.05,0.88111111,0
409,N-atp111,0.05,0.88111111,0
410,N-atp134,0.05,0.88111111,0
411,N-t1d150,0.05,0.88111111,1
412,N-t1d200,0.05,0.88111111,1
413,N-t1d500,0.05,0.88111111,1
414,N-t2d150,0.05,0.88111111,1
415,N-t2d200,0.05,0.88111111,1
416,N-be75eec-150,0.05,0.88111111,1
417,N-be75np-150,0.05,0.88111111,1
418,N-be75eec-250,0.05,0.88111111,1
419,N-be75np-250,0.05,0.88111111,1
420,N-t1d200,0.05,0.88111111,2
421,N-t1d500,0.05,0.88111111,2
422,N-t2d200,0.05,0.88111111,2
423,N-be75eec-150,0.05,0.88111111,2
424,N-be75np-150,0.05,0.88111111,2
425,N-be75eec-250,0.05,0.88111111,2
426,N-be75np-250,0.05,0.88111111,2
427,N-atp134,0.05,0.88111111,2
428,N-t1d150,0.05,0.88111111,3
429,N-t1d200,0.05,0.88111111,3
430,N-t1d500,0.05,0.88111111,3
431,N-t2d150,0.05,0.88111111,3
432,N-t2d200,0.05,0.88111111,3
433,N-p50-02,0.05,0.88111111,3
434,N-be75eec-150,0.05,0.88111111,3
435,N-be75np-150,0.05,0.88111111,3
436,N-be75eec-250,0.05,0.88111111,3
437,N-be75np-250,0.05,0.88111111,3
438,N-atp134,0.05,0.88111111,3
439,N-t1d200,0.05,0.88111111,4
440,N-t1d500,0.05,0.88111111,4
441,N-t2d200,0.05,0.88111111,4
442,N-be75eec-150,0.05,0.88111111,4
443,N-be75eec-250,0.05,0.88111111,4
444,N-be75np-250,0.05,0.88111111,4
445,N-t1d200,0.05,0.88111111,5
446,N-t1d500,0.05,0.88111111,5
447,N-t2d200,0.05,0.88111111,5
448,N-be75eec-150,0.05,0.88111111,5
449,N-be75eec-250,0.05,0.88111111,5
450,N-be75np-250,0.05,0.88111111,5
451,N-t1d200,0.05,0.88111111,6
452,N-t1d500,0.05,0.88111111,6
453,N-t2d200,0.05,0.88111111,6
454,N-be75eec-150,0.05,0.88111111,6
455,N-be75eec-250,0.05,0.88111111,6
456,N-be75np-250,0.05,0.88111111,6
457,N-t1d200,0.05,0.88111111,7
458,N-t1d500,0.05,0.88111111,7
459,N-t2d200,0.05,0.88111111,7
460,N-be75eec-150,0.05,0.88111111,7
461,N-be75eec-250,0.05,0.88111111,7
462,N-be75np-250,0.05,0.88111111,7
463,N-t1d200,0.05,0.88111111,8
464,N-t1d500,0.05,0.88111111,8
465,N-t2d200,0.05,0.88111111,8
466,N-be75eec-150,0.05,0.88111111,8
467,N-be75eec-250,0.05,0.88111111,8
468,N-be75np-250,0.05,0.88111111,8
469,N-t1d200,0.05,0.88111111,9
470,N-t1d500,0.05,0.88111111,9
471,N-t2d200,0.05,0.88111111,9
472,N-be75eec-150,0.05,0.88111111,9
473,N-be75eec-250,0.05,0.88111111,9
474,N-be75np-250,0.05,0.88111111,9
475,rec05,0.05,0.88111111,9
476,N-t1d200,0.05,0.77222222,0
477,N-t1d500,0.05,0.77222222,0
478,N-t2d200,0.05,0.77222222,0
479,N-be75eec-150,0.05,0.77222222,0
480,N-be75eec-250,0.05,0.77222222,0
481,N-be75np-250,0.05,0.77222222,0
482,N-t1d200,0.05,0.77222222,1
483,N-t1d500,0.05,0.77222222,1
484,N-t2d200,0.05,0.77222222,1
485,N-be75eec-150,0.05,0.77222222,1
486,N-be75eec-250,0.05,0.77222222,1
487,N-be75np-250,0.05,0.77222222,1
488,N-t1d200,0.05,0.77222222,2
489,N-t1d500,0.05,0.77222222,2
490,N-t2d200,0.05,0.77222222,2
491,N-be75eec-150,0.05,0.77222222,2
492,N-be75eec-250,0.05,0.77222222,2
493,N-be75np-250,0.05,0.77222222,2
494,N-t1d200,0.05,0.77222222,3
495,N-t1d500,0.05,0.77222222,3
496,N-t2d200,0.05,0.77222222,3
497,N-be75eec-150,0.05,0.77222222,3
498,N-be75eec-250,0.05,0.77222222,3
499,N-be75np-250,0.05,0.77222222,3
500,nug12,0.05,0.77222222,3
501,N-t1d200,0.05,0.77222222,4
502,N-t1d500,0.05,0.77222222,4
503,N-t2d200,0.05,0.77222222,4
504,N-be75eec-150,0.05,0.77222222,4
505,N-be75eec-250,0.05,0.77222222,4
506,N-be75np-250,0.05,0.77222222,4
507,N-t1d200,0.05,0.77222222,5
508,N-t1d500,0.05,0.77222222,5
509,N-t2d200,0.05,0.77222222,5
510,N-be75eec-150,0.05,0.77222222,5
511,N-be75eec-250,0.05,0.77222222,5
512,N-be75np-250,0.05,0.77222222,5
513,N-t1d200,0.05,0.77222222,6
514,N-t1d500,0.05,0.77222222,6
515,N-t2d200,0.05,0.77222222,6
516,N-be75eec-150,0.05,0.77222222,6
517,N-be75eec-250,0.05,0.77222222,6
518,N-be75np-250,0.05,0.77222222,6
519,N-atp134,0.05,0.77222222,6
520,N-t1d200,0.05,0.77222222,7
521,N-t1d500,0.05,0.77222222,7
522,N-t2d200,0.05,0.77222222,7
523,N-be75eec-150,0.05,0.77222222,7
524,N-be75eec-250,0.05,0.77222222,7
525,N-be75np-250,0.05,0.77222222,7
526,nug30,0.05,0.77222222,7
527,N-t1d200,0.05,0.77222222,8
528,N-t1d500,0.05,0.77222222,8
529,N-t2d200,0.05,0.77222222,8
530,N-be75eec-150,0.05,0.77222222,8
531,N-be75eec-250,0.05,0.77222222,8
532,N-be75np-250,0.05,0.77222222,8
533,N-t1d200,0.05,0.77222222,9
534,N-t1d500,0.05,0.77222222,9
535,N-t2d200,0.05,0.77222222,9
536,N-be75eec-150,0.05,0.77222222,9
537,N-be75eec-250,0.05,0.77222222,9
538,N-be75np-250,0.05,0.77222222,9
539,N-atp134,0.05,0.77222222,9
540,rec05,0.05,0.77222222,9
541,N-t1d150,0.05,0.60888889,0
542,N-t1d200,0.05,0.60888889,0
543,N-t1d500,0.05,0.60888889,0
544,N-t2d150,0.05,0.60888889,0
545,N-t2d200,0.05,0.60888889,0
546,N-be75eec-150,0.05,0.60888889,0
547,N-be75np-150,0.05,0.60888889,0
548,N-be75eec-250,0.05,0.60888889,0
549,N-be75np-250,0.05,0.60888889,0
550,N-atp134,0.05,0.60888889,0
551,N-t1d150,0.05,0.60888889,1
552,N-t1d200,0.05,0.60888889,1
553,N-t1d500,0.05,0.60888889,1
554,N-t2d200,0.05,0.60888889,1
555,N-be75eec-150,0.05,0.60888889,1
556,N-be75np-150,0.05,0.60888889,1
557,N-be75eec-250,0.05,0.60888889,1
558,N-be75np-250,0.05,0.60888889,1
559,N-atp134,0.05,0.60888889,1
560,N-t1d150,0.05,0.60888889,2
561,N-t1d200,0.05,0.60888889,2
562,N-t1d500,0.05,0.60888889,2
563,N-t2d200,0.05,0.60888889,2
564,N-be75eec-150,0.05,0.60888889,2
565,N-be75eec-250,0.05,0.60888889,2
566,N-be75np-250,0.05,0.60888889,2
567,N-atp134,0.05,0.60888889,2
568,N-t1d200,0.05,0.60888889,3
569,N-t1d500,0.05,0.60888889,3
570,N-t2d200,0.05,0.60888889,3
571,N-be75eec-150,0.05,0.60888889,3
572,N-be75eec-250,0.05,0.60888889,3
573,N-be75np-250,0.05,0.60888889,3
574,N-t1d150,0.05,0.60888889,4
575,N-t1d200,0.05,0.60888889,4
576,N-t1d500,0.05,0.60888889,4
577,N-t2d150,0.05,0.60888889,4
578,N-t2d200,0.05,0.60888889,4
579,N-be75eec-150,0.05,0.60888889,4
580,N-be75eec-250,0.05,0.60888889,4
581,N-be75np-250,0.05,0.60888889,4
582,N-atp134,0.05,0.60888889,4
583,N-t1d200,0.05,0.60888889,5
584,N-t1d500,0.05,0.60888889,5
585,N-t2d200,0.05,0.60888889,5
586,N-be75eec-150,0.05,0.60888889,5
587,N-be75eec-250,0.05,0.60888889,5
588,N-be75np-250,0.05,0.60888889,5
589,N-atp111,0.05,0.60888889,5
590,N-t1d200,0.05,0.60888889,6
591,N-t1d500,0.05,0.60888889,6
592,N-t2d200,0.05,0.60888889,6
593,N-be75eec-150,0.05,0.60888889,6
594,N-be75np-150,0.05,0.60888889,6
595,N-be75eec-250,0.05,0.60888889,6
596,N-be75np-250,0.05,0.60888889,6
597,N-atp134,0.05,0.60888889,6
598,N-t1d200,0.05,0.60888889,7
599,N-t1d500,0.05,0.60888889,7
600,N-t2d150,0.05,0.60888889,7
601,N-t2d200,0.05,0.60888889,7
602,N-be75eec-150,0.05,0.60888889,7
603,N-be75eec-250,0.05,0.60888889,7
604,N-be75np-250,0.05,0.60888889,7
605,N-t1d150,0.05,0.60888889,8
606,N-t1d200,0.05,0.60888889,8
607,N-t1d500,0.05,0.60888889,8
608,N-t2d200,0.05,0.60888889,8
609,N-be75eec-150,0.05,0.60888889,8
610,N-be75eec-250,0.05,0.60888889,8
611,N-be75np-250,0.05,0.60888889,8
612,N-t1d200,0.05,0.60888889,9
613,N-t1d500,0.05,0.60888889,9
614,N-t2d150,0.05,0.60888889,9
615,N-t2d200,0.05,0.60888889,9
616,N-p50-01,0.05,0.60888889,9
617,N-be75eec-150,0.05,0.60888889,9
618,N-be75eec-250,0.05,0.60888889,9
619,N-be75np-250,0.05,0.60888889,9
620,N-atp134,0.05,0.60888889,9
621,rec05,0.05,0.60888889,9
622,N-t1d200,0.05,0.55444444,0
623,N-t1d500,0.05,0.55444444,0
624,N-t2d150,0.05,0.55444444,0
625,N-t2d200,0.05,0.55444444,0
626,N-be75eec-150,0.05,0.55444444,0
627,N-be75np-150,0.05,0.55444444,0
628,N-be75eec-250,0.05,0.55444444,0
629,N-be75np-250,0.05,0.55444444,0
630,N-atp134,0.05,0.55444444,0
631,N-t1d200,0.05,0.55444444,1
632,N-t1d500,0.05,0.55444444,1
633,N-t2d150,0.05,0.55444444,1
634,N-t2d200,0.05,0.55444444,1
635,N-be75eec-150,0.05,0.55444444,1
636,N-be75eec-250,0.05,0.55444444,1
637,N-be75np-250,0.05,0.55444444,1
638,N-atp134,0.05,0.55444444,1
639,N-t1d200,0.05,0.55444444,2
640,N-t1d500,0.05,0.55444444,2
641,N-t2d200,0.05,0.55444444,2
642,N-be75eec-150,0.05,0.55444444,2
643,N-be75eec-250,0.05,0.55444444,2
644,N-be75np-250,0.05,0.55444444,2
645,N-t1d200,0.05,0.55444444,3
646,N-t1d500,0.05,0.55444444,3
647,N-t2d200,0.05,0.55444444,3
648,N-be75eec-150,0.05,0.55444444,3
649,N-be75eec-250,0.05,0.55444444,3
650,N-be75np-250,0.05,0.55444444,3
651,N-atp134,0.05,0.55444444,3
652,nug12,0.05,0.55444444,3
653,N-t1d200,0.05,0.55444444,4
654,N-t1d500,0.05,0.55444444,4
655,N-t2d200,0.05,0.55444444,4
656,N-be75eec-150,0.05,0.55444444,4
657,N-be75np-150,0.05,0.55444444,4
658,N-be75eec-250,0.05,0.55444444,4
